id,kind,t_host_s,trial,block,phase,last_marker_request_id,last_marker_code,payload_json,temperature,voltage,raw,line,error
61,grip,5.972661699983291,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.972661699983291}",25.0,0.81,0.81,"25,0.81",
62,grip,5.982763200066984,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.982763200066984}",25.0,0.81,0.81,"25,0.81",
63,grip,5.993763000005856,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.993763000005856}",25.0,0.81,0.81,"25,0.81",
65,grip,6.004189900006168,1,1,result,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.004189900006168}",25.0,0.81,0.81,"25,0.81",
68,grip,6.01468320004642,1,1,result,66,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.01468320004642}",25.0,0.81,0.81,"25,0.81",
70,grip,6.025396500015631,1,1,result,66,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.025396500015631}",25.0,0.81,0.81,"25,0.81",
71,grip,6.036306599969976,1,1,result,66,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.036306599969976}",25.0,0.81,0.81,"25,0.81",
72,grip,6.047057099989615,1,1,result,66,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.047057099989615}",25.0,0.81,0.81,"25,0.81",
73,grip,6.057141600060277,1,1,result,66,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.057141600060277}",25.0,0.81,0.81,"25,0.81",
74,grip,6.067209100001492,1,1,result,66,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.067209100001492}",25.0,0.81,0.81,"25,0.81",
75,grip,6.0778302999679,1,1,result,66,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.0778302999679}",25.0,0.81,0.81,"25,0.81",
76,grip,6.087929800036363,1,1,result,66,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.087929800036363}",25.0,0.81,0.81,"25,0.81",
77,grip,6.097999599995092,1,1,result,66,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.097999599995092}",25.0,0.81,0.81,"25,0.81",
78,grip,6.108063800027594,1,1,result,66,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.108063800027594}",25.0,0.81,0.81,"25,0.81",
79,grip,6.118677700054832,1,1,result,66,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.118677700054832}",25.0,0.81,0.81,"25,0.81",
81,grip,6.128762100008316,1,1,iti,66,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.128762100008316}",25.0,0.81,0.81,"25,0.81",
82,grip,6.139766399981454,1,1,iti,66,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.139766399981454}",25.0,0.81,0.81,"25,0.81",
86,grip,6.150572600075975,1,1,iti,83,6,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.150572600075975}",25.0,0.81,0.81,"25,0.81",
88,grip,6.160880299983546,1,1,iti,83,6,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.160880299983546}",25.0,0.81,0.81,"25,0.81",
89,grip,6.17110420006793,1,1,iti,83,6,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.17110420006793}",25.0,0.81,0.81,"25,0.81",
90,grip,6.181160900043324,1,1,iti,83,6,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.181160900043324}",25.0,0.81,0.81,"25,0.81",
91,grip,6.191414000000805,1,1,iti,83,6,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.191414000000805}",25.0,0.81,0.81,"25,0.81",
92,grip,6.201959599973634,1,1,iti,83,6,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.201959599973634}",25.0,0.81,0.81,"25,0.81",
93,grip,6.2127809000667185,1,1,iti,83,6,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.2127809000667185}",25.0,0.81,0.81,"25,0.81",
94,grip,6.22349630005192,1,1,iti,83,6,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.22349630005192}",25.0,0.81,0.81,"25,0.81",
95,grip,6.2342304000630975,1,1,iti,83,6,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.2342304000630975}",25.0,0.81,0.81,"25,0.81",
96,grip,6.244668700033799,1,1,iti,83,6,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.244668700033799}",25.0,0.81,0.81,"25,0.81",
97,grip,6.2547204999718815,1,1,iti,83,6,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.2547204999718815}",25.0,0.81,0.81,"25,0.81",
99,grip,6.2650330000324175,2,1,prepare,83,6,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.2650330000324175}",25.0,0.81,0.81,"25,0.81",
100,grip,6.275625000009313,2,1,prepare,83,6,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.275625000009313}",25.0,0.81,0.81,"25,0.81",
103,grip,6.2858111000387,2,1,prepare,101,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.2858111000387}",25.0,0.81,0.81,"25,0.81",
105,grip,6.296705799992196,2,1,prepare,101,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.296705799992196}",25.0,0.81,0.81,"25,0.81",
106,grip,6.306899699964561,2,1,prepare,101,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.306899699964561}",25.0,0.81,0.81,"25,0.81",
107,grip,6.316963299992494,2,1,prepare,101,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.316963299992494}",25.0,0.81,0.81,"25,0.81",
108,grip,6.327037599985488,2,1,prepare,101,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.327037599985488}",25.0,0.81,0.81,"25,0.81",
109,grip,6.337111499975435,2,1,prepare,101,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.337111499975435}",25.0,0.81,0.81,"25,0.81",
110,grip,6.347607800038531,2,1,prepare,101,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.347607800038531}",25.0,0.81,0.81,"25,0.81",
111,grip,6.3578828000463545,2,1,prepare,101,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.3578828000463545}",25.0,0.81,0.81,"25,0.81",
112,grip,6.368177099968307,2,1,prepare,101,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.368177099968307}",25.0,0.81,0.81,"25,0.81",
114,grip,6.379635200020857,2,1,feedback,101,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.379635200020857}",25.0,0.81,0.81,"25,0.81",
115,grip,6.39011090004351,2,1,feedback,101,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.39011090004351}",25.0,0.81,0.81,"25,0.81",
118,grip,6.400179899996147,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.400179899996147}",25.0,0.81,0.81,"25,0.81",
120,grip,6.410557199968025,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.410557199968025}",25.0,0.81,0.81,"25,0.81",
121,grip,6.4209275000030175,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.4209275000030175}",25.0,0.81,0.81,"25,0.81",
122,grip,6.4311684999847785,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.4311684999847785}",25.0,0.81,0.81,"25,0.81",
123,grip,6.441476800013334,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.441476800013334}",25.0,0.81,0.81,"25,0.81",
124,grip,6.451530299964361,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.451530299964361}",25.0,0.81,0.81,"25,0.81",
125,grip,6.463607700075954,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.463607700075954}",25.0,0.81,0.81,"25,0.81",
126,grip,6.473679200047627,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.473679200047627}",25.0,0.81,0.81,"25,0.81",
127,grip,6.483721900032833,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.483721900032833}",25.0,0.81,0.81,"25,0.81",
129,grip,6.494589200010523,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.494589200010523}",25.0,0.81,0.81,"25,0.81",
130,grip,6.504658499965444,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.504658499965444}",25.0,0.81,0.81,"25,0.81",
131,grip,6.51471360004507,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.51471360004507}",25.0,0.81,0.81,"25,0.81",
132,grip,6.524974700063467,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.524974700063467}",25.0,0.81,0.81,"25,0.81",
133,grip,6.535963500034995,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.535963500034995}",25.0,0.81,0.81,"25,0.81",
134,grip,6.5482053000014275,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.5482053000014275}",25.0,0.81,0.81,"25,0.81",
135,grip,6.5584874000633135,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.5584874000633135}",25.0,0.81,0.81,"25,0.81",
136,grip,6.569214100018144,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.569214100018144}",25.0,0.81,0.81,"25,0.81",
137,grip,6.579681199975312,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.579681199975312}",25.0,0.81,0.81,"25,0.81",
138,grip,6.589742399984971,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.589742399984971}",25.0,0.81,0.81,"25,0.81",
139,grip,6.599787999992259,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.599787999992259}",25.0,0.81,0.81,"25,0.81",
140,grip,6.609851700020954,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.609851700020954}",25.0,0.81,0.81,"25,0.81",
141,grip,6.620485799969174,2,1,feedback,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.620485799969174}",25.0,0.81,0.81,"25,0.81",
143,grip,6.6305498000001535,2,1,result,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.6305498000001535}",25.0,0.81,0.81,"25,0.81",
144,grip,6.641354099963792,2,1,result,116,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.641354099963792}",25.0,0.81,0.81,"25,0.81",
147,grip,6.651449400000274,2,1,result,145,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.651449400000274}",25.0,0.81,0.81,"25,0.81",
149,grip,6.661554499994963,2,1,result,145,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.661554499994963}",25.0,0.81,0.81,"25,0.81",
150,grip,6.672510700067505,2,1,result,145,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.672510700067505}",25.0,0.81,0.81,"25,0.81",
151,grip,6.683165400056168,2,1,result,145,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.683165400056168}",25.0,0.81,0.81,"25,0.81",
152,grip,6.693668200052343,2,1,result,145,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.693668200052343}",25.0,0.81,0.81,"25,0.81",
153,grip,6.703791100066155,2,1,result,145,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.703791100066155}",25.0,0.81,0.81,"25,0.81",
154,grip,6.713927500066347,2,1,result,145,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.713927500066347}",25.0,0.81,0.81,"25,0.81",
155,grip,6.7244411000283435,2,1,result,145,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.7244411000283435}",25.0,0.81,0.81,"25,0.81",
156,grip,6.734590300009586,2,1,result,145,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.734590300009586}",25.0,0.81,0.81,"25,0.81",
157,grip,6.746265499969013,2,1,result,145,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.746265499969013}",25.0,0.81,0.81,"25,0.81",
158,grip,6.7569741000188515,2,1,result,145,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.7569741000188515}",25.0,0.81,0.81,"25,0.81",
160,grip,6.767463500029407,2,1,iti,145,4,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.767463500029407}",25.0,0.81,0.81,"25,0.81",
164,grip,6.778014700044878,2,1,iti,161,6,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.778014700044878}",25.0,0.81,0.81,"25,0.81",
166,grip,6.788072600029409,2,1,iti,161,6,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 6.788072600029409}",25.0,0.81,0.81,"25,0.81",
